ido_word,esperanto_word,in_current_dict,in_wiktionary
Aarhus,Arhuzo,False,no
Abajas,Abajas,False,no
Abdulino,Abdulino,False,no
Abejar,Abejar,False,no
Abel-manjero,Eŭropa abelmanĝulo,False,no
Abel-Premio,Abel-Premio,False,no
Abhazi,Abĥazoj,False,no
Abhazia,Abĥazio,False,no
Aborto,Aborto,False,no
Abreviuro,Mallongigo,False,no
Abruzzo,Abruco,False,no
Abstraktismo,Abstraktismo,False,no
Absurdajo-teatro,Absurda teatro,False,no
Abuja,Abuĝo,False,no
Abulio,Abulio,False,no
Acapulco,Akapulko,False,no
Accra,Akrao,False,no
Acebedo,Acebedo,False,no
Acedera,Acedera,False,no
Aceh-linguo,Aĉea lingvo,False,no
Acelero,Akcelo,False,no
Acensilo,Lifto,False,no
Acento,Akcento,False,no
Aceptago,Akcepto,False,no
Acetat-acido,Acetata acido,False,no
Acetato,Acetato,False,no
Acetileno,Etino,False,no
Achrymowce,Achrymowce,False,no
Acianea,Cejana,False,no
Aciano,Cejano,False,no
Acipitro,Akcipitro,False,no
Aconcagua,Akonkagvo,False,no
Acori,Acoroj,False,no
Acre,Akreo,False,no
Adana,Adana,False,no
Adanero,Adanero,False,no
Adenino,Adenino,False,no
Adenito,Adenito,False,no
Adiciono,Adicio,False,no
Adjuntanto,Adjunkto,False,no
Adjutanto,Adjutanto,False,no
Adjuvilo,Adjuvilo,False,no
Administrado,Administrado,False,no
Administrerio,Administracio,False,no
Adobo,Adobo,False,no
Adonis,Adoniso,False,no
Adoptismo,Adoptismo,False,no
Adpoziciono,Adpozicio,False,no
Adradas,Adradas,False,no
Adrastos,Adrasto,False,no
Adriatiko,Adriatiko,False,no
Aeneis,Eneado,False,no
Aerarmeo,Aerarmeo,False,no
Aerobiko,Aerobia,False,no
Aerofritilo,Aerofritilo,False,no
Aerometro,Aerometro,False,no
Aeronautiko,Aeronaŭtiko,False,no
Aerospaco,Aerspaco,False,no
Afar-linguo,Afara lingvo,False,no
Afazio,Afazio,False,no
Afelio,Afelio,False,no
Afisho-modelo,Afiŝulino,False,no
Afrikan-Usani,Afrik-usonanoj,False,no
Afro,Afrika hararanĝo,False,no
Afro-Aziana linguaro,Afrikazia lingvaro,False,no
Agar-agaro,Gelozo,False,no
Agnato,Agnato,False,no
Agrigento,Agriĝento,False,no
Agrimonio,Agrimonio,False,no
Agulo-terapio,Akupunkturo,False,no
Ahaus,Ahaus,False,no
Ahayi,Aĥajoj,False,no
Ahileus,Aĥilo,False,no
Aigiptos,Egiptuso,False,no
Aigistos,Egisto,False,no
Aikido,Aikido,False,no
Aishilos,Esĥilo,False,no
Aisne,Aisne,False,no
Aisopos,Ezopo,False,no
Ajaccio,Ajaccio,False,no
Ajorno-letro,Moratorio,False,no
Akanto,Akanto,False,no
Akihito,Akihito,False,no
Akileo,Milfolia akileo,False,no
Akko,Akko,False,no
Akoluto,Akolito,False,no
Akoro,Kalam-akoro,False,no
Akrobat-arto,Akrobatado,False,no
Akroch-bendo,Lapfermilo,False,no
Akronimo,Akronimo,False,no
Akrostiko,Akrostiko,False,no
Akroterio,Akrotero,False,no
Aktiniumo,Aktinio,False,no
Akureyri,Akureyri,False,no
Al-Andalus,Al-Andalus,False,no
Al-Biruni,Al-Biruni,False,no
Al-Jazira,Al-Ĝazira,False,no
Al-Kaida,Alkaido,False,no
Al-Khwarizmi,Al-Ĥorezmi,False,no
Alabama,Alabamo,False,no
Alambiko,Alambiko,False,no
Alange,Alange,False,no
Alani,Alanoj,False,no
Albacete,Albacete,False,no
Alberta,Alberto,False,no
Albumeno,Ovoblanko,False,no
Alconaba,Alconaba,False,no
Alconera,Alconera,False,no
Aldealafuente,Aldealafuente,False,no
Aldealpozo,Aldealpozo,False,no
Alentisque,Alentisque,False,no
Aleppo,Halepo,False,no
Alexandria,Aleksandrio,False,no
Algadefe,Algadefe,False,no
Algarve,Algarve,False,no
Algeciras,Algeciras,False,no
Alghero,Alghero,False,no
Alidado,Alidado,False,no
Alioleo,Ajlolea saŭco,False,no
Alizeo,Pasato,False,no
Aljeria,Alĝerio,False,no
Alkaios,Alkajo,False,no
Alkeno,Alkeno,False,no
Alkmene,Alkmeno,False,no
Almajano,Almajano,False,no
Almanza,Almanza,False,no
Almarza,Almarza,False,no
Alo,Flugilo,False,no
Alofi,Alofo,False,no
Alografo,Alografo,False,no
Alopatio,Alopatio,False,no
Aloso,Alozo,False,no
Aloyo,Alojo,False,no
Alpanseque,Alpanseque,False,no
Alpi,Alpoj,False,no
Alpikaprikorno,Alpa cerambiko,False,no
Alpo,Alpa herbejo,False,no
Alteo,Alteo,False,no
Alumino,Aluminia oksido,False,no
Aluviono,Aluvio,False,no
Alytus,Alytus,False,no
Alzacia,Alzaco,False,no
Alzamai,Alzamaj,False,no
Alzheimer-morbo,Alzheimer-malsano,False,no
Amaranto,Amaranto,False,no
Amaro,Haŭsero,False,no
Amas-komunikili,Amaskomunikilo,False,no
Amasofinanceso,Amasfinancado,False,no
Amasokunlaborado,Amaskunlaboro,False,no
Amazoni,Amazonoj,False,no
Ambono,Ambono,False,no
Americana,Americana,False,no
Amfetamino,Amfetamino,False,no
Amfiaraos,Amfiarao,False,no
Amfitrite,Amfitrito,False,no
Amhara-linguo,Amhara lingvo,False,no
Amiga,Amiga,False,no
AmigaOS,AmigaOS,False,no
Amiki,Friends,False,no
Amimone,Amimona,False,no
Amino,Amino,False,no
Aminoacido,Aminoacido,False,no
Amonio,Amonio,False,no
Amonito,Amonito,False,no
Amono,Amoniako,False,no
Amor-asteroido,Amora asteroido,False,no
Amorodrinkajo,Filtro,False,no
Amortisilo,Skusorbilo,False,no
Ampero,Ampero,False,no
Amuzo,Amuzo,False,no
Anabaptismo,Anabaptismo,False,no
Anakoluto,Anakoluto,False,no
Anakoreto,Anakoreto,False,no
Analitiko,Analitiko,False,no
Analo,Analoj,False,no
Analogajo,Analogio,False,no
Anamorfoso,Anamorfozo,False,no
Ananindeua,Ananindeua,False,no
Anapa,Anapa,False,no
Anapesto,Anapesto,False,no
Anarkiismo,Anarkiismo,False,no
Anarkio-kapitalismo,Anarki-kapitalismo,False,no
Anastacia,Anastacia,False,no
