ido_word,esperanto_word,in_current_dict
Agostala stato-stroko,Aŭgusta puĉo,False
Alagoas,Alagoaso,False
Alando,Alando,False
Antarktika oceano,Suda Oceano,False
Antofagasta,Antofagasta (urbo),False
Arica,Arica (Ĉilia urbo),False
Arktika oceano,Arkta Oceano,False
Astato,Astato,False
Barish,Bariŝ (urbo),False
Blagoevgrad,Blagoevgrad,False
Blanka-blua-blanka flago,Blanka-blua-blanka flago,False
Bourbon,Burbono,False
Bridgetown,Briĝurbo,False
Britanian imperio,Brita imperio,False
Callao,Kajao (urbo),False
Cielarko-flago,Ĉielarka flago,False
Cigno-lago,Cignolago,False
Cochabamba,Cochabamba (urbo),False
Colombo,Kolombo (urbo),False
Devoll,Distrikto Devoll,False
Dibër,Distrikto Dibër,False
Disney-lando,Disneyland,False
Dnipro,Dnipro (urbo),False
Drohiczyn,Drohiczyn (Podlaĥia provinco),False
Drzewica,Drzewica (regiono Łódzkie),False
Dubai,Dubajurbo,False
Edmonton,Edmontono,False
Est-Finlando,Gubernio Orienta Finnlando,False
Fier,Fier (urbo),False
Flotacinta glacimonto,Glacimonto,False
Frontier-lando,Markio (imperio),False
Gaza,Gaza-urbo,False
Gent,Gento (urbo),False
Groningen,Groningo (urbo),False
Guatemala-urbo,Gvatemalurbo,False
Hallstatt,Hallstatt (urbo),False
Heno-provinco,Henegovio,False
Hipalago,Hipalago,False
Hispana imperio,Hispana Imperio,False
Historiala regiono,Historia regiono,False
Ho-Chi-Minh-urbo,Ho-Ĉi-Min-urbo,False
Holando,Holando,False
Indial oceano,Hinda Oceano,False
Ingermanlando,Ingrio,False
Japonian imperio,Japana Imperio,False
Jeju-urbo,Ĉeĝu (urbo),False
Kab-urbo,Kaburbo,False
Karelia,Karelio (geografia regiono),False
Kiel,Kilo (urbo),False
Kirene,Cireno (romia urbo),False
Klozit urbo,Fermita urbo,False
Komunista stato,Komunisma ŝtato,False
Kozani,Kozano (urbo),False
Kurlando,Kuronio,False
Kusa,Kusa (urbo),False
Kuwait-Urbo,Kuvajturbo,False
Kuzistan,Provinco Ĥuzestano,False
Lagos,Lagoso,False
Liège,Lieĝo (urbo),False
Luxemburg,Luksemburgo (urbo),False
Malaka,Malako (urbo),False
Malay-peninsulo,Malaja Duoninsulo,False
Metropolala regiono,Metropolaj regionoj,False
Mongola imperio,Mongola Imperio,False
Montoacensado,Montogrimpado,False
México,Meksikurbo,False
Namur,Namuro (urbo),False
Nederlandana republiko,Respubliko de la Sep Unuiĝintaj Provincoj,False
Niigata,Nigata (urbo),False
Nord-Chungchong provinco,Nord-Ĉungĉongo,False
Nord-Holando,Nord-Holando,False
Nord-Irlando,Nord-Irlando,False
Nova-Nederlando,Nova Nederlando,False
Nova-Zelando,Nov-Zelando,False
Nowogród,Nowogród (Podlaĥia provinco),False
Nusantara,Nusantaro (urbo),False
Nyköping,Nyköping (urbo),False
Nîmes,Nimo (urbo),False
Oklahoma-urbo,Oklahomurbo (Oklahomo),False
Oruro,Oruro (urbo),False
Osh,Oŝo (urbo),False
Otoman imperio,Otomana Imperio,False
Palestinana stato,Ŝtato Palestino,False
Panama-urbo,Panamurbo,False
Pask-insulo,Paskinsulo,False
Perturbo bipolara,Dupolusa perturbo,False
Piaski,Piaski (distrikto Świdnicki),False
Potosí,Potosí (urbo),False
Promontorio,Promontoro,False
Pärnu,Urbo Pärnu,False
Përmet,Distrikto Përmet,False
Quinslando,Kvinslando,False
Québec,Kebekurbo,False
Regiono ǁKaras,Karas-regiono,False
Rhenlando-Palatenio,Rejnlando-Palatinato,False
Rusa imperio,Rusia Imperio,False
Saint-Étienne,Sankta-Stefano (franca urbo),False
Salta,Saltaurbo,False
Samara,Samara (urbo),False
Sociala stando,Socia statuso,False
Stato sociala,Socialema ŝtato,False
Stato-stroko,Puĉo,False
Statoro,Statoro,False
Sud-Finlando,Gubernio Suda Finnlando,False
Szczuczyn,Szczuczyn (Podlaĥia provinco),False
Tailando,Tajlando,False
Termostato,Termostato,False
Tibet,Tibeto (regiono),False
Tirol,Tirolo (regiono),False
Traktrico,Trenkurbo,False
Trojany,Trojany (Mazovia provinco),False
Tupio,Turbo,False
Turboto,Turboto,False
Urbala varmeges-insulo,Urba varmo-insulo,False
Urbala yuri,Urborajto,False
Urbostato,Urboŝtato,False
Urheimat,Prahejmregiono,False
Utrecht,Utreĥto (urbo),False
Valdepiélago,Valdepiélago,False
Venus-monto,Puba monto,False
Vladimir,Vladimir (urbo),False
Västerås,Västerås (urbo),False
Zanjan,Zanĝano (urbo),False
Zwierzyniec,Zwierzyniec (distrikto Zamojski),False
