ido_word,esperanto_word,in_current_dict,in_wiktionary
Agostala stato-stroko,Aŭgusta puĉo,False,no
Alagoas,Alagoaso,False,no
Alando,Alando,False,no
Antarktika oceano,Suda Oceano,False,no
Arktika oceano,Arkta Oceano,False,no
Astato,Astato,False,no
Bourbon,Burbono,False,no
Britanian imperio,Brita imperio,False,no
Cielarko-flago,Ĉielarka flago,False,no
Cigno-lago,Cignolago,False,no
Disney-lando,Disneyland,False,no
Dubai,Dubajurbo,False,no
Edmonton,Edmontono,False,no
Flotacinta glacimonto,Glacimonto,False,no
Gaza,Gaza-urbo,False,no
Guatemala-urbo,Gvatemalurbo,False,no
Heno-provinco,Henegovio,False,no
Hipalago,Hipalago,False,no
Hispana imperio,Hispana Imperio,False,no
Historiala regiono,Historia regiono,False,no
Holando,Holando,False,no
Indial oceano,Hinda Oceano,False,no
Ingermanlando,Ingrio,False,no
Japonian imperio,Japana Imperio,False,no
Kab-urbo,Kaburbo,False,no
Klozit urbo,Fermita urbo,False,no
Komunista stato,Komunisma ŝtato,False,no
Kurlando,Kuronio,False,no
Kuwait-Urbo,Kuvajturbo,False,no
Lagos,Lagoso,False,no
Malay-peninsulo,Malaja Duoninsulo,False,no
Metropolala regiono,Metropolaj regionoj,False,no
Mongola imperio,Mongola Imperio,False,no
Montoacensado,Montogrimpado,False,no
Nord-Chungchong provinco,Nord-Ĉungĉongo,False,no
Nord-Holando,Nord-Holando,False,no
Nord-Irlando,Nord-Irlando,False,no
Nova-Nederlando,Nova Nederlando,False,no
Nova-Zelando,Nov-Zelando,False,no
Otoman imperio,Otomana Imperio,False,no
Palestinana stato,Ŝtato Palestino,False,no
Panama-urbo,Panamurbo,False,no
Pask-insulo,Paskinsulo,False,no
Perturbo bipolara,Dupolusa perturbo,False,no
Promontorio,Promontoro,False,no
Quinslando,Kvinslando,False,no
Rhenlando-Palatenio,Rejnlando-Palatinato,False,no
Rusa imperio,Rusia Imperio,False,no
Salta,Saltaurbo,False,no
Sociala stando,Socia statuso,False,no
Stato sociala,Socialema ŝtato,False,no
Stato-stroko,Puĉo,False,no
Statoro,Statoro,False,no
Tailando,Tajlando,False,no
Termostato,Termostato,False,no
Traktrico,Trenkurbo,False,no
Tupio,Turbo,False,no
Turboto,Turboto,False,no
Urbala varmeges-insulo,Urba varmo-insulo,False,no
Urbala yuri,Urborajto,False,no
Urbostato,Urboŝtato,False,no
Venus-monto,Puba monto,False,no
