ido_word,esperanto_word,in_current_dict
Agostala stato-stroko,Aŭgusta puĉo,False
Alagoas,Alagoaso,False
Alando,Alando,False
Antarktika oceano,Suda Oceano,False
Arktika oceano,Arkta Oceano,False
Astato,Astato,False
Blagoevgrad,Blagoevgrad,False
Blanka-blua-blanka flago,Blanka-blua-blanka flago,False
Bourbon,Burbono,False
Bridgetown,Briĝurbo,False
Britanian imperio,Brita imperio,False
Cielarko-flago,Ĉielarka flago,False
Cigno-lago,Cignolago,False
Devoll,Distrikto Devoll,False
Disney-lando,Disneyland,False
Dubai,Dubajurbo,False
Edmonton,Edmontono,False
Est-Finlando,Gubernio Orienta Finnlando,False
Flotacinta glacimonto,Glacimonto,False
Gaza,Gaza-urbo,False
Guatemala-urbo,Gvatemalurbo,False
Heno-provinco,Henegovio,False
Hipalago,Hipalago,False
Hispana imperio,Hispana Imperio,False
Historiala regiono,Historia regiono,False
Ho-Chi-Minh-urbo,Ho-Ĉi-Min-urbo,False
Holando,Holando,False
Indial oceano,Hinda Oceano,False
Ingermanlando,Ingrio,False
Japonian imperio,Japana Imperio,False
Kab-urbo,Kaburbo,False
Klozit urbo,Fermita urbo,False
Komunista stato,Komunisma ŝtato,False
Kurlando,Kuronio,False
Kuwait-Urbo,Kuvajturbo,False
Kuzistan,Provinco Ĥuzestano,False
Lagos,Lagoso,False
Malay-peninsulo,Malaja Duoninsulo,False
Metropolala regiono,Metropolaj regionoj,False
Mongola imperio,Mongola Imperio,False
Montoacensado,Montogrimpado,False
Nederlandana republiko,Respubliko de la Sep Unuiĝintaj Provincoj,False
Nord-Chungchong provinco,Nord-Ĉungĉongo,False
Nord-Holando,Nord-Holando,False
Nord-Irlando,Nord-Irlando,False
Nova-Nederlando,Nova Nederlando,False
Nova-Zelando,Nov-Zelando,False
Otoman imperio,Otomana Imperio,False
Palestinana stato,Ŝtato Palestino,False
Panama-urbo,Panamurbo,False
Pask-insulo,Paskinsulo,False
Perturbo bipolara,Dupolusa perturbo,False
Promontorio,Promontoro,False
Quinslando,Kvinslando,False
Rhenlando-Palatenio,Rejnlando-Palatinato,False
Rusa imperio,Rusia Imperio,False
Salta,Saltaurbo,False
Sociala stando,Socia statuso,False
Stato sociala,Socialema ŝtato,False
Stato-stroko,Puĉo,False
Statoro,Statoro,False
Sud-Finlando,Gubernio Suda Finnlando,False
Tailando,Tajlando,False
Termostato,Termostato,False
Traktrico,Trenkurbo,False
Tupio,Turbo,False
Turboto,Turboto,False
Urbala varmeges-insulo,Urba varmo-insulo,False
Urbala yuri,Urborajto,False
Urbostato,Urboŝtato,False
Urheimat,Prahejmregiono,False
Venus-monto,Puba monto,False
