ido_word,esperanto_word,in_current_dict,in_wiktionary
Abstrakt algebro,Abstrakta algebro,False,no
Abstrakt expresionismo,Abstrakta ekspresionismo,False,no
Acida kremo,Acidkremo,False,no
Acida pluvo,Acida pluvo,False,no
Acidento trafikala,Trafikakcidento,False,no
Aerobikala gimnastiko,Aerobiko,False,no
Afrikansa linguo,Afrikanso,False,no
Agadir,Agadir,False,no
Agamemnon,Agamemno,False,no
Agrokultivala revoluciono,Neolitika revolucio,False,no
Ahenaton,Aĥnaton,False,no
Aison,Esono,False,no
Akademiala termino,Semestro,False,no
Aktayon,Akteono,False,no
Alagir,Alagir,False,no
Albaniana linguo,Albana lingvo,False,no
Alexin,Aleksin,False,no
Alfabetal ordineso,Alfabeta ordo,False,no
Algebral elemento,Algebra elemento,False,no
Algebral equaciono,Algebra ekvacio,False,no
Algebrala nombro,Algebra nombro,False,no
Algebrala strukturo,Algebra strukturo,False,no
Algebrala topologio,Algebra topologio,False,no
Alkaliatra metalo,Alkala metalo,False,no
Alkoholoza drinkaji,Alkoholaĵo,False,no
Almaluez,Almaluez,False,no
Alta teknologio,Alta teknologio,False,no
Altaika linguaro,Altaja lingvaro,False,no
Alzaciana linguo,Alzaca lingvo,False,no
Amas extingo,Amasa formorto,False,no
Amatora radio,Amatora radio,False,no
Amatoral astronomio,Amatora astronomio,False,no
Ambientala cienco,Mediscienco,False,no
Amfiktion,Amfiktiono,False,no
Amfitrion,Amfitriono,False,no
Amniotala ovo,Ovo,False,no
Anadir,Anadir,False,no
Anakreon,Anakreonto,False,no
Analitikala geometrio,Analitika geometrio,False,no
Analizala filozofio,Analiza filozofio,False,no
Angla linguo,Angla lingvo,False,no
Anglosaxona linguo,Anglosaksa lingvo,False,no
Animo komputerala,Komputilanimacio,False,no
Apertita fonto,Malferma kodo,False,no
Apertita kontenajo,Malfermita enhavo,False,no
Aplikata cienci,Aplikataj sciencoj,False,no
Aplikata matematiko,Aplika matematiko,False,no
Apollon,Apolono,False,no
Aquo subterala,Grundakvo,False,no
Araba alfabeto,Araba alfabeto,False,no
Araba maro,Araba Maro,False,no
Araba mondo,Araba mondo,False,no
Arabiana linguo,Araba lingvo,False,no
Aragon,Aragono,False,no
Aragonana linguo,Aragona lingvo,False,no
Arboral animalo,Surarba moviĝemo,False,no
Argolika gulfo,Argolanda Golfo,False,no
Arida klimato,Arida klimato,False,no
Arieto hidraulikala,Premfrapo,False,no
Aritmetikala progresiono,Aritmetika vico,False,no
Armeniana gentocido,Armena genocido,False,no
Armeniana linguo,Armena lingvo,False,no
Armizita rebelo,Vakera filmo,False,no
Arpitana linguo,Arpitana lingvo,False,no
Artala lingui,Arta lingvo,False,no
Artala movado,Arta movado,False,no
Artala sketado,Arta sketado,False,no
Artifical inteligenteso,Artefarita intelekto,False,no
Artificala satelito,Artefarita satelito,False,no
Arturala legendi,Artura legendo,False,no
Arumaniana linguo,Arumana lingvo,False,no
Askorbata acido,Askorbata acido,False,no
Astronomiala unajo,Astronomia unuo,False,no
Asturiana linguo,Astura lingvo,False,no
Asuncion,Asunciono,False,no
Atmosferala polutajo,Aera poluado,False,no
Atomala nombro,Atomnumero,False,no
Augmentita realeso,Pliigita realo,False,no
Australiana dolaro,Aŭstralia dolaro,False,no
Austroneziana linguaro,Aŭstronezia lingvaro,False,no
Avestana linguo,Avesta lingvo,False,no
Avionala transportonavo,Aviadila ŝipo,False,no
Azerbaijanana linguo,Azerbajĝana lingvo,False,no
Bahrain,Barejno,False,no
Balaton,Balatono,False,no
Baleno blua,Blua baleno,False,no
Baltika lingui,Balta lingvaro,False,no
Baskiana linguo,Eŭska lingvo,False,no
Baskiana nacionalismo,Eŭska naciismo,False,no
Bellerofon,Belerofono,False,no
Benin,Benino,False,no
