ido_word,esperanto_word,in_current_dict
Abstrakt algebro,Abstrakta algebro,False
Abstrakt expresionismo,Abstrakta ekspresionismo,False
Acida kremo,Acidkremo,False
Acida pluvo,Acida pluvo,False
Acidento trafikala,Trafikakcidento,False
Aerobikala gimnastiko,Aerobiko,False
Afrikansa linguo,Afrikanso,False
Agadir,Agadir,False
Agamemnon,Agamemno,False
Agrokultivala revoluciono,Neolitika revolucio,False
Ahenaton,Aĥnaton,False
Aison,Esono,False
Akademiala termino,Semestro,False
Aktayon,Akteono,False
Alagir,Alagir,False
Albaniana linguo,Albana lingvo,False
Alexin,Aleksin,False
Alfabetal ordineso,Alfabeta ordo,False
Algebral elemento,Algebra elemento,False
Algebral equaciono,Algebra ekvacio,False
Algebrala nombro,Algebra nombro,False
Algebrala strukturo,Algebra strukturo,False
Algebrala topologio,Algebra topologio,False
Alkaliatra metalo,Alkala metalo,False
Alkoholoza drinkaji,Alkoholaĵo,False
Almaluez,Almaluez,False
Alta teknologio,Alta teknologio,False
Altaika linguaro,Altaja lingvaro,False
Alzaciana linguo,Alzaca lingvo,False
Amas extingo,Amasa formorto,False
Amatora radio,Amatora radio,False
Amatoral astronomio,Amatora astronomio,False
Ambientala cienco,Mediscienco,False
Amfiktion,Amfiktiono,False
Amfitrion,Amfitriono,False
Amniotala ovo,Ovo,False
Anadir,Anadir,False
Anakreon,Anakreonto,False
Analitikala geometrio,Analitika geometrio,False
Analizala filozofio,Analiza filozofio,False
Angla linguo,Angla lingvo,False
Anglosaxona linguo,Anglosaksa lingvo,False
Animo komputerala,Komputilanimacio,False
Apertita fonto,Malferma kodo,False
Apertita kontenajo,Malfermita enhavo,False
Aplikata cienci,Aplikataj sciencoj,False
Aplikata matematiko,Aplika matematiko,False
Apollon,Apolono,False
Aquo subterala,Grundakvo,False
Araba alfabeto,Araba alfabeto,False
Araba maro,Araba Maro,False
Araba mondo,Araba mondo,False
Arabiana linguo,Araba lingvo,False
Aragon,Aragono,False
Aragonana linguo,Aragona lingvo,False
Arboral animalo,Surarba moviĝemo,False
Argolika gulfo,Argolanda Golfo,False
Arida klimato,Arida klimato,False
Arieto hidraulikala,Premfrapo,False
Aritmetikala progresiono,Aritmetika vico,False
