ido_word,esperanto_word,in_current_dict
A.S. Byatt,A. S. Byatt,False
Aale Tynni,Aale Tynni,False
Aamir Khan,Aamir Ĥan,False
Aaron Ciechanover,Aaron Ciechanover,False
Aaron Copland,Aaron Copland,False
Aaron Nimzowitsch,Aron Nimcoviĉ,False
"Abashiri, Hokkaido",Abaŝiri (urbo),False
Abaý Qunanbaýulı,Abaj Kunanbajev,False
Abbas Kiarostami,Abbas Kiarostami,False
Abdelaziz Bouteflika,Abdelaziz Bouteflika,False
Abdelmadjid Tebboune,Abdelmaĝid Tebbun,False
Abdou Diouf,Abdou Diouf,False
Abdoulaye Wade,Abdoulaye Wade,False
Abdullah Gül,Abdullah Gül,False
Abdullah Öcalan,Abdullah Öcalan,False
Abdulrazak Gurnah,Abdulrazak Gurnah,False
Abdulsalami Abubakar,Abdulsalami Abubakar,False
Abdurrahman Wahid,Abdurrahman Wahid,False
Abdus Salam,Abdus Salam,False
Abebe Bikila,Abebe Bikila,False
Abel Tasman,Abel Tasman,False
Abhisit Vejjajiva,Abhisit Vejjajiva,False
"Abilene, Texas",Abilene (Teksaso),False
Abraham Lincoln,Abraham Lincoln,False
Abramowice Prywatne,Abramowice Prywatne,False
Abu Bakr,Abu Bakr,False
Abu Dhabi,Abudabio (urbo),False
Abu Nuwas,Abu Nuŭas,False
Achal Prabhala,Achal Prabhala,False
"Acworth, Georgia",Acworth (Georgio),False
Ada Yonath,Ada Yonath,False
Adam Elsheimer,Adam Elsheimer,False
Adam Mickiewicz,Adam Mickiewicz,False
Adam Smith,Adam Smith,False
Adama Barrow,Adama Barrow,False
Adela Noriega,Adela Noriega,False
"Adelaide, Australia",Adelajdo,False
Adis Abeba,Adis-Abebo,False
Adnan Menderes,Adnan Menderes,False
Adolf Butenandt,Adolf Butenandt,False
Adolf Eichmann,Adolf Eichmann,False
Adolf Hitler,Adolf Hitler,False
Adolf Schärf,Adolf Schärf,False
Adolphe Sax,Adolphe Sax,False
Adolphe Thiers,Adolphe Thiers,False
Adone Zoli,Adone Zoli,False
Adoniran Barbosa,Adoniran Barbosa,False
Adreso IP,IP-adreso,False
Adriana Lima,Adriana Lima,False
Adriano Celentano,Adriano Celentano,False
Adrien Brody,Adrien Brody,False
Adélaïde Labille-Guiard,Adélaïde Labille-Guiard,False
Afero Dreyfus,Dreyfus-skandalo,False
Afero Profumo,Afero Profumo,False
AFK Ajax,AFC Ajax,False
Afonso Pena,Afonso Pena,False
Afrika Bambaataa,Afrika Bambaataa,False
Afrikana Uniono,Afrika Unio,False
Agatha Christie,Agatha Christie,False
Agnetha Fältskog,Agnetha Fältskog,False
Agnez Mo,Agnes Monica,False
Agnolo Bronzino,Agnolo Bronzino,False
Agnès Varda,Agnès Varda,False
Agostinho Neto,Agostinho Neto,False
Agostino Carracci,Agostino Carracci,False
Agostino Depretis,Agostino Depretis,False
Ahlam Mosteghanemi,Ahlam Mosteghanemi,False
Ahmadou Ahidjo,Ahmadou Ahidjo,False
Ahmed Ouyahia,Ahmed Ouyahia,False
Ahmed Zewail,Ahmed H. Zewail,False
Ahmet Davutoğlu,Ahmet Davutoğlu,False
Ai Weiwei,Ai Weiwei,False
Aimo Cajander,Aimo Kaarlo Cajander,False
Aimé Césaire,Aimé Césaire,False
Air Canada,Air Canada,False
Airbus A320,Airbus A320,False
Airbus A321,Airbus A321,False
Airbus A330,Airbus A330,False
Airbus A340,Airbus A340,False
Airbus A380,Airbus A380,False
Aishwarya Rai,Aishwarya Rai,False
Aki Kaurismäki,Aki Kaurismäki,False
Akira Kurosawa,Kurosawa Akira,False
Akira Yoshino,Akira Joŝino,False
"Akron, Ohio",Akron (Ohio),False
Akseli Gallen-Kallela,Akseli Gallen-Kallela,False
Al Capone,Al Capone,False
Al Gore,Al Gore,False
Al Manamah,Manamo,False
Al Pacino,Al Pacino,False
Alain Aspect,Alain Aspect,False
