ido_word,esperanto_word,in_current_dict
Aarhus,Arhuzo,False
Abajas,Abajas,False
Abdulino,Abdulino,False
Abejar,Abejar,False
Abel-manjero,Eŭropa abelmanĝulo,False
Abel-Premio,Abel-Premio,False
Abhazi,Abĥazoj,False
Abhazia,Abĥazio,False
Aborto,Aborto,False
Abreviuro,Mallongigo,False
Abruzzo,Abruco,False
Abstraktismo,Abstraktismo,False
Absurdajo-teatro,Absurda teatro,False
Abuja,Abuĝo,False
Abulio,Abulio,False
Abundokorno,Korno de abundeco,False
Acapulco,Akapulko,False
Accra,Akrao,False
Acebedo,Acebedo,False
Acedera,Acedera,False
Aceh-linguo,Aĉea lingvo,False
Acelero,Akcelo,False
Acensilo,Lifto,False
Acento,Akcento,False
Aceptago,Akcepto,False
Acetat-acido,Acetata acido,False
Acetato,Acetato,False
Acetileno,Etino,False
Achrymowce,Achrymowce,False
Acianea,Cejana,False
Aciano,Cejano,False
Acipitro,Akcipitro,False
Aconcagua,Akonkagvo,False
Acori,Acoroj,False
Acre,Akreo,False
Adana,Adana,False
Adanero,Adanero,False
Adenino,Adenino,False
Adenito,Adenito,False
Adiciono,Adicio,False
Adjuntanto,Adjunkto,False
Adjutanto,Adjutanto,False
Adjuvilo,Adjuvilo,False
Administrado,Administrado,False
Administrerio,Administracio,False
Adobo,Adobo,False
Adonis,Adoniso,False
Adoptismo,Adoptismo,False
Adpoziciono,Adpozicio,False
Adradas,Adradas,False
Adrastos,Adrasto,False
Adriatiko,Adriatiko,False
Aegukga,Nacia himno de Sud-Koreio,False
Aeneis,Eneado,False
Aerarmeo,Aerarmeo,False
Aerobiko,Aerobia,False
Aerofritilo,Aerofritilo,False
Aerometro,Aerometro,False
Aeronautiko,Aeronaŭtiko,False
Aerospaco,Aerspaco,False
Afar-linguo,Afara lingvo,False
Afazio,Afazio,False
Afelio,Afelio,False
Afisho-modelo,Afiŝulino,False
Afrikan-Usani,Afrik-usonanoj,False
Afro,Afrika hararanĝo,False
Afro-Aziana linguaro,Afrikazia lingvaro,False
Agar-agaro,Gelozo,False
Agnato,Agnato,False
Agrigento,Agriĝento,False
Agrimonio,Agrimonio,False
Agulo-terapio,Akupunkturo,False
Ahaus,Ahaus,False
Ahayi,Aĥajoj,False
Ahileus,Aĥilo,False
Aigiptos,Egiptuso,False
Aigistos,Egisto,False
Aikido,Aikido,False
Airbus,Airbus Commercial Aircraft,False
Aishilos,Esĥilo,False
Aisne,Aisne,False
Aisopos,Ezopo,False
Aix-en-Provence,Aix-en-Provence,False
Ajaccio,Ajaccio,False
Ajorno-letro,Moratorio,False
Ak-Dovurak,Ak-Dovurak,False
Akanto,Akanto,False
Akbar,Ĝalaluddin Muhammad Akbar,False
Akihito,Akihito,False
Akileo,Milfolia akileo,False
Akko,Akko,False
Akoluto,Akolito,False
Akoro,Kalam-akoro,False
Akrobat-arto,Akrobatado,False
Akroch-bendo,Lapfermilo,False
Akronimo,Akronimo,False
Akrostiko,Akrostiko,False
Akroterio,Akrotero,False
Aktiniumo,Aktinio,False
Akureyri,Akureyri,False
Al-Andalus,Al-Andalus,False
Al-Biruni,Al-Biruni,False
Al-Jazira,Al-Ĝazira,False
Al-Kaida,Alkaido,False
Al-Khwarizmi,Al-Ĥorezmi,False
Alabama,Alabamo,False
Alambiko,Alambiko,False
Alange,Alange,False
Alani,Alanoj,False
Albacete,Albacete,False
Alberta,Alberto,False
Albumeno,Ovoblanko,False
Alconaba,Alconaba,False
Alconera,Alconera,False
Aldealafuente,Aldealafuente,False
Aldealpozo,Aldealpozo,False
Alentisque,Alentisque,False
Aleppo,Halepo,False
Alet-les-Bains,Alet-les-Bains,False
Alexandria,Aleksandrio,False
Algadefe,Algadefe,False
Algarve,Algarve,False
Algeciras,Algeciras,False
Alghero,Alghero,False
Alidado,Alidado,False
Alioleo,Ajlolea saŭco,False
Alizeo,Pasato,False
Aljeria,Alĝerio,False
Alkaios,Alkajo,False
Alkeno,Alkeno,False
Alkmene,Alkmeno,False
Almajano,Almajano,False
Almanza,Almanza,False
Almarza,Almarza,False
Alo,Flugilo,False
Alofi,Alofo,False
Alografo,Alografo,False
Alopatio,Alopatio,False
Aloso,Alozo,False
Aloyo,Alojo,False
Alpanseque,Alpanseque,False
Alpi,Alpoj,False
Alpikaprikorno,Alpa cerambiko,False
Alpo,Alpa herbejo,False
Alteo,Alteo,False
Alumino,Aluminia oksido,False
Aluviono,Aluvio,False
Alytus,Alytus,False
Alzacia,Alzaco,False
Alzamai,Alzamaj,False
Alzheimer-morbo,Alzheimer-malsano,False
Amaranto,Amaranto,False
Amaro,Haŭsero,False
Amas-komunikili,Amaskomunikilo,False
Amasofinanceso,Amasfinancado,False
Amasokunlaborado,Amaskunlaboro,False
Amazoni,Amazonoj,False
Ambono,Ambono,False
Americana,Americana,False
Amfetamino,Amfetamino,False
Amfiaraos,Amfiarao,False
Amfitrite,Amfitrito,False
Amhara-linguo,Amhara lingvo,False
Amiga,Amiga,False
AmigaOS,AmigaOS,False
Amiki,Friends,False
Amimone,Amimona,False
Amino,Amino,False
Aminoacido,Aminoacido,False
Amonio,Amonio,False
Amonito,Amonito,False
Amono,Amoniako,False
Amor-asteroido,Amora asteroido,False
Amorodrinkajo,Filtro,False
Amortisilo,Skusorbilo,False
Ampero,Ampero,False
Amuzo,Amuzo,False
Anabaptismo,Anabaptismo,False
Anabazo,Anabazo de Ksenofono,False
Anakoluto,Anakoluto,False
Anakoreto,Anakoreto,False
Analitiko,Analitiko,False
Analo,Analoj,False
Analogajo,Analogio,False
Anamorfoso,Anamorfozo,False
Ananindeua,Ananindeua,False
Anapa,Anapa,False
Anapesto,Anapesto,False
Anarkiismo,Anarkiismo,False
Anarkio-kapitalismo,Anarki-kapitalismo,False
Anastacia,Anastacia,False
Anatolia,Anatolio,False
Ancona,Ankono,False
Andaluzia,Andaluzio,False
Andi,Andoj,False
Andorra-la-Vella,Andoro Malnova,False
Andradina,Andradina,False
Androido,Androido,False
Andromahe,Andromaĥo,False
Anestezio,Anestezo,False
Angeliko,Angelikoj,False
Angiospermi,Angiospermoj,False
Anglikanismo,Anglikanismo,False
Anguila,Angvilo,False
Anhinoe,Ankinoo,False
Animal-Farmeyo,La Besto-Farmo,False
Animalo,Bestoj,False
Animismo,Animismo,False
Animo,Animacio,False
Aniva,Aniva,False
Anjero-Sudjensk,Anĵero-Sudĵensko,False
Ankara,Ankaro,False
Annaba,Annaba,False
Annaberg-Buchholz,Annaberg-Buchholz,False
Annapurna,Anapurno,False
Anomio,Anomio,False
Anonimeso,Anonimeco,False
Anosmio,Anosmio,False
Antalya,Antalya,False
Antananarivo,Antananarivo,False
Antarktika,Antarkto,False
Antequera,Antequera,False
Anteridio,Anteridio,False
Antezo,Antezo,False
Anti-nacionalismo,Sennaciismo,False
Anti-Semidismo,Antisemitismo,False
Anticipo,Anticipo,False
Antifrazo,Antifrazo,False
Antikythera-mekanismo,Meĥanismo de Antikithera,False
Antilohos,Antiloĥo,False
Antimonio,Antimono,False
Antinomio,Antinomio,False
Antiqueso,Antikva epoko,False
Antitoxino,Antitoksino,False
Antoinismo,Antoinismo,False
Antonina,Antonina,False
Antonomazio,Antonomazio,False
Antropometrio,Antropometrio,False
Anxio,Anksieco,False
Anzio,Anzio,False
Aosta,Aosto,False
Apalachi,Apalaĉaj Montoj,False
Apanajo,Apanaĝo,False
Apate,Apato,False
Apenini,Apeninoj,False
Apertivo,Aperitivo,False
Apia,Apio,False
Aplikala programif-interkonekto,Aplikprograma interfaco,False
Apollon-asteroido,Apolona asteroido,False
Apologo,Apologo,False
Apoziciono,Apozicio,False
Aprelevka,Aprelevka,False
Apteso,Kapablo,False
Apuleius,Apuleo,False
Apulia,Apulio,False
Aquaforto,Akvaforto,False
Aquatinto,Akvatinta gravuraĵo,False
Aqueyo,Akvejo,False
Aquilegio,Akvilegio,False
Aquo-ciklo,Akva ciklo,False
Aquobalo,Akvopilkado,False
Aquofluo,Akva fluanto,False
Aquofonto,Akvofonto,False
Aquoturmo,Akvoturo,False
Aquovaporo,Akvovaporo,False
Arabi,Araboj,False
Araknoido,Araknoido,False
Arako,Arako,False
Arara,Arara,False
Arawak-linguaro,Aravaka lingvaro,False
Arbutiero,Okcidenta arbuto,False
Areko,Betelaĵo,False
Arenillas,Arenillas,False
Areolo,Areolo,False
Arequipa,Arekipo,False
Argalo,Argala marabuo,False
Arganza,Arganza,False
Argonauti,Argonaŭtoj,False
Ariadne,Ariadno,False
Arianismo,Arianismo,False
Aristayos,Aristeo,False
Aristokratismo,Aristokratio,False
Aristolokio,Aristolokio,False
Aristotelismo,Aristotelismo,False
Arivey-ensemblo,Cela aro,False
Arizona,Arizono,False
Arkansas,Arkansaso,False
Arkegonio,Arkegonio,False
Arket-instrumento,Arĉinstrumento,False
Arketo,Arĉo,False
Arkimandrito,Arkimandrito,False
