ido_word,esperanto_word,in_current_dict
"""Ting""",Ting,False
.ac,.ac,False
.ad,.ad,False
.ae,.ae,False
.aero,.aero,False
.af,.af,False
.ag,.ag,False
.ai,.ai,False
.al,.al,False
.am,.am,False
.an,.an,False
.ao,.ao,False
.aq,.aq,False
.ar,.ar,False
.as,.as,False
.at,.at,False
.au,.au,False
.aw,.aw,False
.ax,.ax,False
.az,.az,False
.ba,.ba,False
.bb,.bb,False
.bd,.bd,False
.be,.be,False
.bf,.bf,False
.bg,.bg,False
.bh,.bh,False
.bi,.bi,False
.bj,.bj,False
.bl,.bl,False
.bm,.bm,False
.bn,.bn,False
.bo,.bo,False
.bq,.bq,False
.br,.br,False
.bs,.bs,False
.bt,.bt,False
.bv,.bv,False
.bw,.bw,False
.by,.by,False
.bz,.bz,False
.ca,.ca,False
.cat,.cat,False
.cc,.cc,False
.cd,.cd,False
.cf,.cf,False
.cg,.cg,False
.ch,.ch,False
.ci,.ci,False
.ck,.ck,False
.cl,.cl,False
.cm,.cm,False
.cn,.cn,False
.co,.co,False
.com,.com,False
.cr,.cr,False
.cs,.cs,False
.cu,.cu,False
.cv,.cv,False
.cw,.cw,False
.cx,.cx,False
.cy,.cy,False
.cz,.cz,False
.dd,.dd,False
.de,.de,False
.dj,.dj,False
.dk,.dk,False
.dm,.dm,False
.do,.do,False
.dz,.dz,False
.ec,.ec,False
.ee,.ee,False
.eg,.eg,False
.eh,.eh,False
.er,.er,False
.es,.es,False
.et,.et,False
.eu,.eu,False
.eus,.eus,False
.fi,.fi,False
.fj,.fj,False
.fk,.fk,False
.fm,.fm,False
.fo,.fo,False
.fr,.fr,False
.ga,.ga,False
.gb,.gb,False
.gd,.gd,False
.ge,.ge,False
.gf,.gf,False
.gg,.gg,False
.gh,.gh,False
.gi,.gi,False
.gl,.gl,False
.gm,.gm,False
.gn,.gn,False
.gov,.gov,False
.gp,.gp,False
.gq,.gq,False
.gr,.gr,False
.gs,.gs,False
.gt,.gt,False
.gu,.gu,False
.gw,.gw,False
.gy,.gy,False
.hk,.hk,False
.hm,.hm,False
.hn,.hn,False
.hr,.hr,False
.ht,.ht,False
.hu,.hu,False
.id,.id,False
.ie,.ie,False
.il,.il,False
.im,.im,False
.in,.in,False
.info,.info,False
.io,.io,False
.iq,.iq,False
.ir,.ir,False
.is,.is,False
.it,.it,False
.je,.je,False
.jm,.jm,False
.jo,.jo,False
.jp,.jp,False
.ke,.ke,False
.kg,.kg,False
.kh,.kh,False
.ki,.ki,False
.km,.km,False
.kn,.kn,False
.kp,.kp,False
.kr,.kr,False
.kw,.kw,False
.ky,.ky,False
.kz,.kz,False
.la,.la,False
.lb,.lb,False
.lc,.lc,False
.li,.li,False
.lk,.lk,False
.london,.london,False
.lr,.lr,False
.ls,.ls,False
.lt,.lt,False
.lu,.lu,False
.lv,.lv,False
.ly,.ly,False
.ma,.ma,False
.mc,.mc,False
.md,.md,False
.me,.me,False
.mf,.mf,False
.mg,.mg,False
.mh,.mh,False
.mil,.mil,False
.mk,.mk,False
.ml,.ml,False
.mm,.mm,False
.mn,.mn,False
.mo,.mo,False
.mp,.mp,False
.mq,.mq,False
.mr,.mr,False
.ms,.ms,False
.mt,.mt,False
.mu,.mu,False
.mv,.mv,False
.mw,.mw,False
.mx,.mx,False
.my,.my,False
.mz,.mz,False
.na,.na,False
.nc,.nc,False
.ne,.ne,False
.nf,.nf,False
.ng,.ng,False
.ni,.ni,False
.nl,.nl,False
.no,.no,False
.np,.np,False
.nr,.nr,False
.nu,.nu,False
.nz,.nz,False
.om,.om,False
.onion,.onion,False
.pa,.pa,False
.pe,.pe,False
.pf,.pf,False
.pg,.pg,False
.ph,.ph,False
.pk,.pk,False
.pl,.pl,False
.pm,.pm,False
.pn,.pn,False
.post,.post,False
.pr,.pr,False
.ps,.ps,False
.pt,.pt,False
.pw,.pw,False
.py,.py,False
.qa,.qa,False
.re,.re,False
.ro,.ro,False
.rs,.rs,False
.ru,.ru,False
.rw,.rw,False
.sa,.sa,False
.sb,.sb,False
.sc,.sc,False
.sd,.sd,False
.se,.se,False
.sg,.sg,False
.sh,.sh,False
.si,.si,False
.sj,.sj,False
.sk,.sk,False
.sl,.sl,False
.sm,.sm,False
.sn,.sn,False
.so,.so,False
.sr,.sr,False
.ss,.ss,False
.st,.st,False
.su,.su,False
.sv,.sv,False
.sx,.sx,False
.sy,.sy,False
.sz,.sz,False
.tc,.tc,False
.td,.td,False
.tf,.tf,False
.tg,.tg,False
.th,.th,False
.tj,.tj,False
.tk,.tk,False
.tl,.tl,False
.tm,.tm,False
.tn,.tn,False
.to,.to,False
.tp,.tp,False
.tr,.tr,False
.tt,.tt,False
.tv,.tv,False
.tw,.tw,False
.tz,.tz,False
.ua,.ua,False
.ug,.ug,False
.uk,.uk,False
.um,.um,False
.us,.us,False
.uy,.uy,False
.uz,.uz,False
.va,.va,False
.vc,.vc,False
.ve,.ve,False
.vg,.vg,False
.vi,.vi,False
.vn,.vn,False
.vu,.vu,False
.wf,.wf,False
.ws,.ws,False
.xxx,.xxx,False
.ye,.ye,False
.yt,.yt,False
.yu,.yu,False
.za,.za,False
.zm,.zm,False
.zw,.zw,False
1 aK,-1,False
10,10,False
10 aK,-10,False
100,100,False
100 aK,-100,False
1000,1000,False
1000 milii,Mil Mejloŝtonoj,False
1000 Piazzia,1000 Piazzia,False
1001,1001,False
1002,1002,False
1003,1003,False
1003 Lilofee,1003 Lilofee,False
1004,1004,False
1005,1005,False
1006,1006,False
1007,1007,False
1008,1008,False
1009,1009,False
1009 Sirene,1009 Sireno,False
101,101,False
101 aK,-101,False
101 Helena,101 Helena,False
1010,1010,False
1010 Marlene,1010 Marlene,False
1011,1011,False
1011 Laodamia,1011 Laodamia,False
1012,1012,False
1012 Sarema,1012 Sarema,False
1013,1013,False
1014,1014,False
1014 Semphyra,1014 Semphyra,False
1015,1015,False
1015 Christa,1015 Christa,False
1016,1016,False
1016 Anitra,1016 Anitra,False
1017,1017,False
1018,1018,False
1018 Arnolda,1018 Arnolda,False
1019,1019,False
1019 Strackea,1019 Strackea,False
102,102,False
102 aK,-102,False
1020,1020,False
1020 Arcadia,1020 Arkadio,False
1021,1021,False
1022,1022,False
1023,1023,False
1023 Thomana,1023 Thomana,False
1024,1024,False
1025,1025,False
1025 Riema,1025 Riema,False
1026,1026,False
1026 Ingrid,1026 Ingrid,False
1027,1027,False
1028,1028,False
1029,1029,False
103,103,False
103 aK,-103,False
1030,1030,False
1031,1031,False
1032,1032,False
1033,1033,False
1034,1034,False
103422 Laurisirén,103422 Laurisirén,False
1035,1035,False
1035 Amata,1035 Amata,False
1036,1036,False
1036 Ganimedes,1036 Ganimedo,False
1037,1037,False
1038,1038,False
1039,1039,False
104,104,False
104 aK,-104,False
1040,1040,False
1041,1041,False
1041 Asta,1041 Asta,False
1042,1042,False
1042 Amazone,1042 Amazono,False
1043,1043,False
1043 Beate,1043 Beate,False
1044,1044,False
1044 Teutonia,1044 Teutonia,False
1045,1045,False
1046,1046,False
1047,1047,False
1047 Geisha,1047 Gejŝo,False
1048,1048,False
1048 Feodosia,1048 Feodosia,False
1049,1049,False
1049 Gotho,1049 Gotho,False
105,105,False
105 aK,-105,False
1050,1050,False
1050 Meta,1050 Meta,False
1051,1051,False
1051 Merope,1051 Meropo,False
1052,1052,False
1053,1053,False
1054,1054,False
1054 Forsytia,1054 Forsitio,False
1055,1055,False
1056,1056,False
1056 Azalea,1056 Azaleo,False
1057,1057,False
1058,1058,False
1059,1059,False
106,106,False
106 aK,-106,False
1060,1060,False
1060 Magnolia,1060 Magnolio,False
1061,1061,False
1061 Paeonia,1061 Peonio,False
1062,1062,False
1063,1063,False
1063 Aquilegia,1063 Akvilegio,False
1064,1064,False
1064 Aethusa,1064 Etuzo,False
1065,1065,False
1066,1066,False
1066 Lobelia,1066 Lobelio,False
1067,1067,False
1067 Lunaria,1067 Lunaria,False
1068,1068,False
1069,1069,False
107,107,False
107 aK,-107,False
1070,1070,False
1070 Tunica,1070 Tunica,False
1071,1071,False
1072,1072,False
1072 Malva,1072 Malvo,False
1073,1073,False
1074,1074,False
1075,1075,False
1076,1076,False
1076 Viola,1076 Violo,False
1077,1077,False
1077 Campanula,1077 Kampanulo,False
1078,1078,False
1078 Mentha,1078 Mento,False
1079,1079,False
108,108,False
108 aK,-108,False
1080,1080,False
1080 Orchis,1080 Orkideo,False
1081,1081,False
1081 Reseda,1081 Rezedo,False
1082,1082,False
1082 Pirola,1082 Pirolo,False
1083,1083,False
1083 Salvia,1083 Salvio,False
1084,1084,False
1085,1085,False
1085 Amaryllis,1085 Amarilido,False
1086,1086,False
1087,1087,False
1087 Arabis,1087 Arabiso,False
1088,1088,False
1089,1089,False
109,109,False
109 aK,-109,False
1090,1090,False
1091,1091,False
1091 Spiraea,1091 Spireo,False
1092,1092,False
1092 Lilium,1092 Lilium,False
1093,1093,False
1094,1094,False
1095,1095,False
1095 Tulipa,1095 Tulipo,False
1096,1096,False
1097,1097,False
1097 Vicia,1097 Vicio,False
1098,1098,False
1099,1099,False
10ma yarcento,10-a jarcento,False
11,11,False
11 aK,-11,False
110,110,False
110 aK,-110,False
1100,1100,False
1100 Arnica,1100 Arniko,False
1101,1101,False
1101 Clematis,1101 Klematido,False
1102,1102,False
1103,1103,False
1103 Sequoia,1103 Sekvojo,False
1104,1104,False
1104 Syringa,1104 Siringo,False
1105,1105,False
1105 Fragaria,1105 Fragaria,False
1106,1106,False
1106 Cydonia,1106 Cidonio,False
1107,1107,False
1108,1108,False
1108 Demeter,1108 Demetro,False
1109,1109,False
1109 Tata,1109 Tata,False
111,111,False
111 aK,-111,False
1110,1110,False
1111,1111,False
1111 Reinmuthia,1111 Reinmuthia,False
1112,1112,False
1112 Polonia,1112 Polonia,False
1113,1113,False
1114,1114,False
1115,1115,False
1116,1116,False
1117,1117,False
1118,1118,False
1119,1119,False
1119 Euboea,1119 Eŭbeo,False
112,112,False
112 aK,-112,False
1120,1120,False
1120 Cannonia,1120 Cannonia,False
1121,1121,False
1122,1122,False
1123,1123,False
1124,1124,False
1125,1125,False
1126,1126,False
1126 Otero,1126 Otero,False
1127,1127,False
1128,1128,False
1129,1129,False
113,113,False
113 aK,-113,False
1130,1130,False
1130 Skuld,1130 Skuld,False
1131,1131,False
1131 Porzia,1131 Porzia,False
1132,1132,False
1133,1133,False
1134,1134,False
1135,1135,False
1136,1136,False
1137,1137,False
1138,1138,False
1138 Attica,1138 Atiko,False
1139,1139,False
114,114,False
114 aK,-114,False
1140,1140,False
1141,1141,False
1142,1142,False
1142 Aetolia,1142 Etolio,False
1143,1143,False
1143 Odiseus,1143 Odiseo,False
1144,1144,False
1144 Oda,1144 Oda,False
1145,1145,False
11451 Aarongolden,11451 Aarongolden,False
1146,1146,False
1147,1147,False
1148,1148,False
1149,1149,False
115,115,False
115 aK,-115,False
1150,1150,False
1150 Ahaya,1150 Aĥeo,False
1151,1151,False
1151 Itaka,1151 Itako,False
1152,1152,False
1152 Pawona,1152 Pawona,False
1153,1153,False
1154,1154,False
1154 Astronomio,1154 Astronomio,False
1155,1155,False
1155 Aënna,1155 Aënna,False
1156,1156,False
1156 Kira,1156 Kira,False
1157,1157,False
