ido_word,esperanto_word,in_current_dict
1903,1903,False
1907,1907,False
1911,1911,False
1928,1928,False
1929,1929,False
1942,1942,False
1945,1945,False
1963,1963,False
1967,1967,False
1989,1989,False
1991,1991,False
2004,2004,False
Altaika linguaro,Altaja lingvaro,False
Antarktika,Antarkto,False
Cómpeta,Cómpeta,False
Franz Schubert,Franz Schubert,False
Frontispico,Vikipedio:Ĉefpaĝo,False
Georges Simenon,Georges Simenon,False
Indo-Europana linguaro,Hindeŭropa lingvaro,False
Linguaro,Lingva familio,False
Mongola lingui,Mongola lingvaro,False
Naturala cienci,Naturscienco,False
Ronald Reagan,Ronald Reagan,False
Tungusiana lingui,Tunguz-manĉura lingvaro,False
Turka lingui,Tjurka lingvaro,False
Uralika linguaro,Urala lingvaro,False
Afrika,Afriko,True
Amerika,Ameriko,True
Astronomio,Astronomio,True
Biografio,Biografio,True
Biologio,Biologio,True
Ekologio,Ekologio,True
Esperanto,Esperanto,True
Europa,Eŭropo,True
Faraono,Faraono,True
Finlando,Finnlando,True
Fonetiko,Fonetiko,True
Geografio,Geografio,True
Historio,Historio,True
Ido,Ido,True
Kemio,Kemio,True
Konsonanto,Konsonanto,True
Linguistiko,Lingvistiko,True
Linguo,Lingvo,True
Literaturo,Literaturo,True
Mondo,Mondo,True
Oceania,Oceanio,True
Vokalo,Vokalo,True
